stop_id,latitude,longitude,ons,offs
102062,33.751411,-84.390747,23,140
102070,33.751732,-84.393127,0,16
102074,33.750584,-84.39518,103,19
102078,33.750225,-84.397636,3,37
102108,33.749493,-84.396034,11,1
102109,33.748463,-84.396851,79,7
102110,33.743069,-84.398384,18,90
102112,33.741989,-84.398376,4,72
102124,33.755508,-84.382256,17,71
102132,33.747116,-84.387726,1,0
102148,33.750294,-84.391907,91,31
102150,33.748219,-84.388123,281,78
102152,33.750042,-84.38839,24,497
102156,33.751938,-84.39183,34,811
102170,33.751541,-84.385666,243,30
102172,33.749798,-84.380318,16,76
102173,33.750599,-84.384285,416,86
102174,33.749893,-84.382912,5,68
102178,33.754539,-84.384193,17,4
102180,33.754513,-84.386169,169,34
102210,33.750439,-84.396072,2,45
102214,33.750278,-84.395294,4,23
102218,33.748745,-84.396385,20,525
102222,33.743099,-84.398064,25,2
102224,33.741692,-84.398117,30,4
102226,33.754993,-84.390656,3765,82
102228,33.753597,-84.38858,2491,96
102236,33.753361,-84.391991,5165,2657
102248,33.753181,-84.39135,9587,3373
102252,33.7416,-84.387733,430,73
102253,33.746315,-84.387665,26,30
102254,33.755737,-84.387779,38,135
102258,33.753506,-84.391975,9087,6133
102262,33.74963,-84.390686,79,64
102270,33.753139,-84.392181,10382,5389
102274,33.753811,-84.392418,13733,6746
102282,33.752281,-84.386604,74,13
102284,33.755596,-84.382614,280,15
102289,33.754017,-84.392418,4060,1201
102292,33.753944,-84.392624,3155,506
102294,33.752548,-84.393593,23,67
102296,33.751385,-84.394394,8,43
102298,33.755585,-84.387627,702,27
102308,33.75425,-84.389771,412,25
102310,33.754601,-84.389633,69,449
102316,33.753521,-84.381279,74,40
102512,33.751911,-84.382996,479,168
102518,33.752998,-84.381905,99,69
102526,33.752716,-84.379623,3,7
102530,33.749744,-84.381088,17,21
102532,33.747383,-84.397705,2,29
102534,33.750916,-84.393188,119,1
102542,33.749763,-84.385437,1147,280
102544,33.744606,-84.394524,9,13
102546,33.743984,-84.393219,131,5
102554,33.749165,-84.398125,19,1
102558,33.755524,-84.384018,43,20
103022,33.746895,-84.381348,61,54
103024,33.746941,-84.383751,9,37
103026,33.746964,-84.386345,5,52
103032,33.752674,-84.374245,0,1
103034,33.750721,-84.373634,0,6
103052,33.75547,-84.379959,28,164
103060,33.755852,-84.372078,43,216
103062,33.755554,-84.37693,24,3
103083,33.745529,-84.37925,151,75
103084,33.746735,-84.379166,12,18
103090,33.746696,-84.365608,4,7
103092,33.746696,-84.366531,48,12
103094,33.746624,-84.365227,3,35
103095,33.746811,-84.368019,68,52
103097,33.746601,-84.366959,9,50
103098,33.74667,-84.368141,47,107
103100,33.746685,-84.369713,1,30
103101,33.746696,-84.371414,3,4
103104,33.746731,-84.372528,6,4
103108,33.74968,-84.379738,61,48
103118,33.75441,-84.374832,7,14
103130,33.755726,-84.391434,0,1240
103134,33.754345,-84.39006,601,32
103136,33.753876,-84.388901,0,528
103138,33.753059,-84.387703,162,20
103162,33.755447,-84.37661,5,28
103164,33.75555,-84.380142,146,24
103168,33.746849,-84.371361,7,6
103169,33.746887,-84.379166,8,46
103170,33.746944,-84.376457,2,71
103172,33.746681,-84.375023,9,6
103174,33.746826,-84.37542,5,31
103188,33.754292,-84.380417,27,46
103190,33.751438,-84.373642,3,11
103191,33.752796,-84.374184,2,3
103193,33.753757,-84.374268,6,17
103196,33.755466,-84.375168,23,192
103200,33.74715,-84.376762,28,7
103202,33.746647,-84.373581,3,29
103900,33.749977,-84.375877,1882,889
104012,33.741947,-84.349266,568,506
104013,33.740623,-84.349403,128,47
104014,33.747421,-84.347435,74,6
104046,33.747707,-84.347176,14,30
104048,33.747681,-84.349052,86,197
104050,33.74752,-84.349388,319,148
104052,33.747425,-84.350372,49,27
104054,33.747238,-84.350685,34,112
104056,33.747028,-84.352554,4,4
104058,33.746651,-84.353043,3,16
104060,33.746696,-84.354233,12,23
104062,33.746346,-84.354568,1,66
104064,33.746338,-84.35601,64,30
104066,33.746719,-84.356575,64,12
104068,33.746628,-84.359055,136,72
104070,33.746555,-84.359169,43,106
104072,33.746574,-84.361313,5,34
104074,33.746635,-84.360573,33,5
104076,33.746655,-84.36219,89,1
104078,33.74659,-84.362289,4,59
104436,33.747215,-84.286049,0,19
105002,33.739033,-84.344025,21,23
105004,33.736149,-84.341774,2,63
105006,33.734585,-84.341026,5,16
105016,33.729301,-84.328667,11,6
105018,33.727646,-84.325333,23,249
105038,33.739964,-84.334885,7,77
105040,33.739918,-84.332314,12,94
105042,33.739876,-84.33065,12,4
105043,33.739754,-84.329834,2,20
105044,33.739681,-84.326401,119,90
105074,33.739929,-84.33007,41,2
105075,33.73999,-84.332558,31,16
105076,33.740036,-84.334778,20,9
105094,33.72776,-84.325432,52,16
105096,33.728767,-84.326889,3,2
105098,33.729359,-84.328583,3,0
105107,33.728703,-84.327209,2,65
105116,33.733215,-84.339317,8,6
105118,33.734161,-84.340393,4,0
105120,33.736748,-84.342003,5,0
105122,33.737617,-84.342476,9,1
105124,33.72686,-84.333153,3,0
