stop_id,latitude,longitude,ons,offs
103118,33.75441,-84.374832,2,6
103130,33.755726,-84.391434,0,3045
103134,33.754345,-84.39006,146,5
103136,33.753876,-84.388901,0,440
103138,33.753059,-84.387703,37,20
103162,33.755447,-84.37661,2,58
103164,33.75555,-84.380142,67,10
103168,33.746849,-84.371361,13,2
103169,33.746887,-84.379166,4,64
103170,33.746944,-84.376457,3,46
103172,33.746681,-84.375023,3,21
103174,33.746826,-84.37542,11,18
103188,33.754292,-84.380417,5,27
103190,33.751438,-84.373642,0,3
103193,33.753757,-84.374268,13,5
103196,33.755466,-84.375168,10,90
103200,33.74715,-84.376762,32,1
103202,33.746647,-84.373581,1,30
103900,33.749977,-84.375877,2509,1197
104012,33.741947,-84.349266,327,367
104013,33.740623,-84.349403,28,33
104014,33.747421,-84.347435,75,2
104046,33.747707,-84.347176,22,36
104048,33.747681,-84.349052,225,264
104050,33.74752,-84.349388,258,58
104052,33.747425,-84.350372,58,54
104054,33.747238,-84.350685,7,27
104056,33.747028,-84.352554,10,1
104058,33.746651,-84.353043,23,2
104060,33.746696,-84.354233,59,9
104062,33.746346,-84.354568,15,2
104064,33.746338,-84.35601,3,175
104066,33.746719,-84.356575,24,173
104068,33.746628,-84.359055,99,99
104070,33.746555,-84.359169,11,552
104072,33.746574,-84.361313,4,6
104074,33.746635,-84.360573,1,0
104076,33.746655,-84.36219,174,45
104078,33.74659,-84.362289,18,222
104436,33.747215,-84.286049,5,1
105002,33.739033,-84.344025,2,7
105004,33.736149,-84.341774,0,1
105006,33.734585,-84.341026,0,7
105016,33.729301,-84.328667,0,11
105018,33.727646,-84.325333,7,81
105038,33.739964,-84.334885,4,10
105040,33.739918,-84.332314,20,165
105042,33.739876,-84.33065,3,30
105043,33.739754,-84.329834,5,2
105044,33.739681,-84.326401,40,30
105074,33.739929,-84.33007,31,7
105075,33.73999,-84.332558,84,29
105076,33.740036,-84.334778,68,6
105094,33.72776,-84.325432,237,22
105096,33.728767,-84.326889,15,0
105107,33.728703,-84.327209,12,4
105116,33.733215,-84.339317,60,1
105118,33.734161,-84.340393,3,0
105120,33.736748,-84.342003,62,0
105122,33.737617,-84.342476,8,0
105124,33.72686,-84.333153,26,0
105126,33.727844,-84.333633,9,1
105130,33.730709,-84.336395,17,41
105134,33.730751,-84.339386,33,0
105136,33.729195,-84.339668,45,0
105138,33.729248,-84.342262,24,1
105140,33.72924,-84.34343,23,0
105142,33.729591,-84.344757,32,2
105144,33.731869,-84.344711,53,0
105146,33.734028,-84.344666,3,3
105148,33.734951,-84.344643,22,0
105150,33.7369,-84.344658,8,0
105151,33.739021,-84.344666,1,2
105152,33.738064,-84.342842,2,5
105153,33.739162,-84.344818,3,1
105154,33.729362,-84.344795,4,14
105156,33.731915,-84.338234,3,31
105158,33.731228,-84.337196,3,7
105160,33.72995,-84.335724,16,13
105161,33.729019,-84.334183,7,0
105162,33.729111,-84.334503,0,12
105164,33.727795,-84.333916,9,11
105166,33.727089,-84.333572,1,0
105172,33.751125,-84.314224,6,0
105174,33.751144,-84.316101,43,5
105176,33.751144,-84.31739,16,3
105178,33.75116,-84.318726,57,2
105180,33.751171,-84.320145,37,6
105182,33.751175,-84.321533,35,15
105184,33.75272,-84.324722,58,27
105186,33.753239,-84.325806,40,55
105188,33.753391,-84.329025,41,4
105192,33.753399,-84.331619,4,0
105194,33.753407,-84.333008,20,0
105196,33.753418,-84.334572,7,1
105198,33.753445,-84.33757,34,23
105200,33.753445,-84.338493,3,0
105202,33.755367,-84.338593,58,2
105203,33.75544,-84.338745,9,16
105208,33.751984,-84.323425,56,10
105210,33.747551,-84.345856,16,3
105212,33.747536,-84.344391,10,0
105214,33.747536,-84.343246,0,1
105216,33.747524,-84.341942,35,10
105218,33.747314,-84.319885,169,42
105220,33.747295,-84.317253,10,2
105222,33.747284,-84.314514,96,271
105226,33.747475,-84.33564,19,32
105228,33.747448,-84.328537,686,127
105230,33.747566,-84.330246,40,1
105232,33.747524,-84.331581,10,129
105234,33.747627,-84.332748,199,64
105236,33.747543,-84.3358,185,62
105240,33.747555,-84.338493,130,14
105242,33.747654,-84.339737,46,0
105244,33.747589,-84.341881,71,16
105246,33.747643,-84.343185,14,2
105248,33.747612,-84.344353,13,2
105250,33.747612,-84.345329,8,8
105251,33.73967,-84.322113,6,11
105252,33.73991,-84.320641,6,1
105254,33.740017,-84.320694,43,3
105260,33.740002,-84.314041,116,257
105264,33.740196,-84.313866,617,193
105302,33.760555,-84.342422,3,1
105339,33.747402,-84.323563,90,25
105349,33.739838,-84.326355,93,56
105370,33.753551,-84.338646,1,14
105372,33.753372,-84.337646,3,18
105374,33.753345,-84.334694,0,7
105376,33.753345,-84.333168,2,1
105378,33.753326,-84.331581,0,2
105382,33.753319,-84.329269,7,98
105383,33.7533,-84.326561,7,117
105384,33.752415,-84.324341,17,46
105386,33.751465,-84.322853,1,26
105390,33.751091,-84.320671,2,16
